age,gender,address,family_size,parent_status,mother_education,father_education,mother_job,father_job,reason,guardian,travel_time,study_time,past_failures,school_support,family_support,paid_classes,activities,nursery,higher_education_goal,internet_access,romantic_relationship,family_relations,free_time,go_out,workday_alcohol,weekend_alcohol,health_status,absences,attendance_rate,grade_period1,grade_period2,final_grade,passed,parent_edu_avg,alcohol_total,support_score,academic_history,grade_improvement,absence_category,study_efficiency,at_risk_score
21,0,0,1,0,4.0,3.0,0,4,0,0,1,1,0,0,0,1,0,0,1,1,1,3,1,3,4,4,1.0,0,92.2,15,16,15,1,3.5,8,0,15.5,1,0,0.25,8
18,1,1,0,1,3.0,3.0,4,2,2,1,2,3,1,1,0,1,1,0,1,1,0,4,1,3,3,1,2.0,3,79.6,8,10,8,0,3.0,4,1,9.0,2,1,0.75,6
19,0,0,0,0,2.0,3.0,2,0,1,0,1,4,0,0,0,0,0,0,1,1,1,3,3,2,5,2,5.0,3,93.3,14,16,15,1,2.5,7,0,15.0,2,1,1.3333333333333333,7
21,0,0,1,1,2.0,0.0,0,3,3,1,3,2,0,0,0,1,1,0,1,1,0,5,4,2,5,5,4.0,0,100.0,6,6,7,0,1.0,10,0,6.0,0,0,0.6666666666666666,10
17,1,1,1,1,4.0,3.0,2,2,1,1,1,2,2,0,1,1,1,0,1,0,1,1,3,4,1,1,2.0,5,75.6,7,6,7,0,3.5,2,1,6.5,-1,1,0.4,7
19,1,0,1,1,3.0,,0,0,2,0,2,1,0,1,1,0,0,1,1,1,1,3,1,5,1,2,1.0,0,100.0,7,10,8,0,,3,2,8.5,3,0,0.16666666666666666,3
19,0,1,0,0,3.0,2.0,1,3,2,1,2,3,0,1,0,0,1,1,0,0,0,5,1,1,1,4,5.0,1,100.0,12,13,15,1,2.5,5,1,12.5,1,0,1.5,5
21,1,1,0,0,4.0,3.0,3,3,3,1,2,4,0,0,1,1,1,1,1,1,0,3,3,2,3,4,5.0,2,95.9,19,20,20,1,3.5,7,1,19.5,1,0,1.3333333333333333,7
16,0,0,0,1,0.0,4.0,0,2,1,1,2,2,0,0,0,0,0,0,1,1,0,2,2,2,2,4,2.0,0,100.0,10,11,12,1,2.0,6,0,10.5,1,0,0.6666666666666666,6
17,0,1,1,1,2.0,4.0,4,2,0,0,4,2,1,0,1,1,1,1,1,1,1,3,2,4,1,4,3.0,0,99.8,10,9,14,1,3.0,5,1,9.5,-1,0,0.4,7
21,0,1,0,1,4.0,3.0,4,3,0,1,1,3,0,0,1,0,0,1,1,1,1,5,1,4,1,1,3.0,1,91.2,18,20,20,1,3.5,2,1,19.0,2,0,0.6,2
17,0,1,0,1,2.0,4.0,4,1,3,0,2,3,0,0,0,0,0,1,1,1,1,4,1,5,5,1,4.0,1,95.8,18,18,19,1,3.0,6,0,18.0,0,0,0.5,6
17,1,0,0,0,2.0,2.0,1,1,2,0,3,2,0,0,1,0,1,0,1,1,0,3,4,2,2,2,5.0,5,95.5,14,17,17,1,2.0,4,1,15.5,3,1,0.6666666666666666,5
19,1,1,1,1,3.0,4.0,3,2,2,0,1,3,0,1,0,0,0,1,1,1,0,1,2,2,3,5,2.0,1,94.4,14,15,13,1,3.5,8,1,14.5,1,0,1.0,8
18,1,1,1,1,4.0,2.0,3,2,0,0,1,3,0,0,1,0,1,0,1,0,0,5,4,4,2,3,1.0,0,100.0,14,13,15,1,3.0,5,1,13.5,-1,0,0.6,5
17,1,0,0,1,2.0,2.0,4,3,0,1,1,4,0,0,0,1,1,1,1,0,0,4,1,3,5,3,3.0,0,100.0,12,14,13,1,2.0,8,0,13.0,2,0,1.0,8
20,0,0,0,1,4.0,1.0,0,1,3,1,2,1,0,0,1,0,1,0,1,1,1,5,1,5,3,4,2.0,3,98.4,11,9,12,1,2.5,7,1,10.0,-2,1,0.16666666666666666,7
19,0,1,1,1,4.0,4.0,0,2,0,1,1,4,1,0,1,1,0,0,1,0,1,3,4,2,4,2,4.0,8,70.7,20,20,18,1,4.0,6,1,20.0,0,2,1.3333333333333333,9
16,1,1,1,1,2.0,3.0,3,2,3,1,1,2,0,0,0,1,1,1,1,1,0,2,4,1,1,3,4.0,6,91.9,17,20,20,1,2.5,4,0,18.5,3,1,1.0,5
18,0,1,0,1,4.0,2.0,4,2,3,0,2,3,0,1,0,0,0,1,1,1,1,2,1,1,3,3,,0,95.3,17,18,17,1,3.0,6,1,17.5,1,0,1.5,6
20,0,1,0,1,3.0,2.0,4,2,1,1,2,2,0,0,1,0,0,1,1,1,0,1,5,4,5,3,4.0,0,100.0,13,17,18,1,2.5,8,1,15.0,4,0,0.4,8
20,0,1,0,1,3.0,4.0,3,2,3,1,1,2,2,1,0,0,1,0,1,1,0,1,1,1,2,3,4.0,0,98.2,10,8,10,1,3.5,5,1,9.0,-2,0,1.0,9
16,1,0,0,0,4.0,4.0,1,4,1,0,1,3,0,0,0,0,1,1,1,1,0,4,2,4,3,3,3.0,2,93.2,15,17,18,1,4.0,6,0,16.0,2,0,0.6,6
18,1,1,0,1,4.0,3.0,3,1,3,0,2,2,3,0,1,0,0,1,1,1,0,2,1,3,5,2,3.0,1,100.0,9,6,4,0,3.5,7,1,7.5,-3,0,0.5,13
19,1,1,1,1,2.0,3.0,0,4,0,0,4,1,3,0,1,0,1,1,1,0,1,3,3,4,3,3,4.0,0,100.0,4,0,1,0,2.5,6,1,2.0,-4,0,0.2,12
15,0,1,0,1,3.0,3.0,0,2,0,0,2,2,1,1,0,1,0,1,1,1,0,5,1,2,1,3,5.0,0,97.6,12,13,13,1,3.0,4,1,12.5,1,0,0.6666666666666666,6
18,1,0,0,1,3.0,2.0,1,4,3,0,2,2,0,0,0,0,1,1,1,1,0,5,5,1,2,2,3.0,24,40.0,9,14,10,1,2.5,4,0,11.5,5,3,1.0,8
16,1,1,0,1,3.0,4.0,3,3,3,0,1,2,0,0,1,1,1,0,1,1,1,2,2,2,2,1,3.0,10,72.0,14,15,15,1,3.5,3,1,14.5,1,2,0.6666666666666666,5
20,1,0,0,1,3.0,1.0,0,3,0,1,1,4,0,0,0,1,1,0,1,1,1,2,1,1,3,1,4.0,0,97.1,14,17,20,1,2.0,4,0,15.5,3,0,2.0,4
19,1,1,1,1,1.0,3.0,2,3,3,2,2,2,2,1,1,1,0,0,1,1,0,5,4,1,5,1,5.0,0,100.0,7,5,4,0,2.0,6,2,6.0,-2,0,1.0,10
18,1,1,1,0,3.0,2.0,2,2,2,0,3,2,1,0,1,1,1,1,0,1,0,4,2,4,1,3,4.0,6,84.5,7,7,8,0,2.5,4,1,7.0,0,1,0.4,7
15,1,1,1,1,3.0,3.0,0,1,3,1,2,1,3,0,1,1,0,1,1,1,0,5,2,5,1,2,1.0,2,100.0,5,1,0,0,3.0,3,1,3.0,-4,0,0.16666666666666666,9
15,0,1,1,1,2.0,3.0,3,3,0,1,3,2,0,0,0,0,1,1,1,0,0,1,5,1,3,1,1.0,9,74.0,11,16,11,1,2.5,4,0,13.5,5,2,1.0,5
17,0,1,1,1,4.0,3.0,3,2,1,0,4,2,0,0,0,1,0,0,1,0,0,3,4,1,4,4,5.0,2,98.8,10,10,12,1,3.5,8,0,10.0,0,0,1.0,8
17,1,1,0,1,4.0,2.0,2,4,0,2,1,2,0,0,0,1,0,1,1,0,1,2,3,5,3,4,1.0,2,98.6,16,17,15,1,3.0,7,0,16.5,1,0,0.3333333333333333,7
